602,10,373,542,959,557
604,9,400,553,969,560
602,10,395,550,960,558
602,10,395,528,958,557
602,10,374,552,964,557
602,10,374,552,965,557
602,9,395,529,959,558
602,9,404,542,966,557
602,9,403,543,966,558
602,10,407,550,965,558
602,9,375,544,967,557
602,10,407,543,961,558
602,9,375,529,960,557
602,10,374,543,965,557
602,10,374,551,960,557
602,10,404,543,960,558
602,10,406,554,966,557
603,10,395,530,961,558
602,10,404,553,961,558
602,9,404,530,961,558
603,10,394,551,962,558
602,10,406,529,961,558
601,10,376,548,965,557
602,9,374,552,962,558
603,10,395,554,962,558
601,9,409,558,968,557
602,10,407,544,967,558
602,10,407,555,962,558
602,9,409,548,969,558
604,9,402,568,975,559
602,9,406,544,966,557
602,9,376,548,970,556
602,10,395,554,961,556
603,10,406,531,966,557
602,10,408,550,969,556
602,10,404,531,967,557
602,10,394,544,966,558
602,10,397,560,968,558
602,10,395,544,968,557
602,10,374,532,968,558
601,9,412,555,973,556
602,10,407,552,963,557
603,9,395,531,966,557
606,9,379,562,976,562
602,10,404,532,967,557
602,9,374,553,968,557
601,10,401,568,973,556
602,9,396,545,964,557
603,9,407,553,968,557
604,10,400,544,974,558
602,10,374,554,964,557
602,10,407,556,969,557
611,9,378,566,978,565
602,10,404,547,967,557
602,10,407,547,964,557
611,9,407,562,970,565
607,9,417,600,1007,561
604,10,420,577,991,558
605,9,423,584,990,559
605,9,421,577,990,559
605,9,410,563,989,559
605,10,390,584,990,560
605,10,420,564,988,560
605,9,409,575,989,560
604,9,423,564,989,559
604,9,420,585,988,558
603,9,422,576,984,559
604,10,388,576,987,559
604,10,423,564,988,558
605,10,423,576,988,558
604,10,389,584,988,558
604,9,389,584,984,559
604,9,420,584,987,558
604,10,410,564,987,558
604,9,389,584,983,557
604,9,420,576,987,558
602,10,396,555,958,555
601,9,405,557,959,555
602,10,406,546,962,556
602,9,407,547,963,555
601,10,395,534,964,555
602,9,374,547,965,555
602,10,374,554,966,555
602,9,406,555,966,555
601,9,377,539,969,554
602,10,395,534,964,555
602,9,375,548,966,554
602,10,407,555,962,555
602,9,374,547,966,555
602,10,375,559,965,554
603,9,407,558,966,555
602,10,374,557,962,556
601,9,375,550,965,555
603,9,395,547,962,556
602,10,407,558,967,554
601,9,408,558,966,554
603,9,375,556,968,555
603,9,395,555,964,555
601,9,410,564,974,554
603,10,405,558,969,555
604,9,406,558,964,555
604,9,402,570,976,556
602,10,407,549,968,554
602,10,404,548,963,554
603,9,375,559,965,555
603,9,375,535,970,554
602,9,405,557,970,555
602,9,396,550,971,554
602,9,374,559,969,554
602,9,395,556,969,554
601,10,411,564,976,554
604,9,381,571,981,555
602,10,375,558,964,554
602,10,377,563,972,554
603,10,374,550,966,553
603,10,375,550,969,553
601,10,412,544,977,552
603,10,396,536,969,554
603,10,407,550,971,554
601,9,400,559,978,554
602,9,375,537,966,554
602,10,374,550,970,554
601,10,408,543,973,553
602,10,405,560,971,554
603,9,396,561,968,555
612,9,413,561,982,562
603,9,405,537,970,554
602,10,375,537,968,554
610,10,407,540,977,561
602,10,375,559,972,554
603,10,405,562,971,554
602,10,407,559,968,555
602,10,407,561,971,554
602,10,405,551,972,554
602,9,405,538,970,554
602,10,374,539,967,554
603,10,395,538,970,554
603,9,408,552,968,554
605,9,410,569,981,556
601,10,408,554,971,553
603,10,407,553,966,554
602,9,408,560,972,553
603,10,404,560,967,554
602,9,405,538,966,554
601,10,405,552,971,554
602,9,407,560,971,554
602,9,405,552,966,554
602,10,405,553,966,554
602,10,405,553,968,554
602,9,407,539,970,555
602,9,375,561,969,553
